10bit
# 256 Phase Filters
# Single Set of Coefficients

# The original filename is:
# N64_less_blur_H_256.txt

# Coefficients
 -37,  29, 295, -31
 -37,  28, 296, -31
 -37,  27, 298, -31
 -38,  25, 299, -31
 -38,  24, 300, -30
 -38,  23, 302, -30
 -38,  21, 303, -30
 -38,  20, 304, -30
 -38,  19, 305, -30
 -38,  17, 307, -30
 -38,  16, 308, -30
 -38,  15, 309, -29
 -39,  14, 310, -29
 -39,  13, 311, -29
 -39,  11, 312, -29
 -39,  10, 313, -29
 -39,   9, 314, -29
 -39,   8, 315, -28
 -39,   7, 316, -28
 -39,   6, 317, -28
 -39,   5, 318, -28
 -39,   4, 319, -27
 -39,   3, 320, -27
 -40,   2, 321, -27
 -40,   1, 321, -26
 -40,   0, 322, -26
 -40,  -1, 323, -26
 -40,  -2, 323, -26
 -40,  -3, 324, -25
 -40,  -4, 325, -25
 -40,  -5, 325, -24
 -40,  -6, 326, -24
 -40,  -7, 326, -24
 -40,  -7, 327, -23
 -40,  -8, 327, -23
 -40,  -9, 327, -22
 -40, -10, 328, -22
 -40, -10, 328, -21
 -40, -11, 328, -21
 -40, -12, 329, -20
 -40, -13, 329, -20
 -40, -13, 329, -19
 -40, -14, 329, -19
 -40, -15, 329, -18
 -40, -15, 329, -18
 -40, -16, 329, -17
