Path,URL,Size in bytes,MD5 Hash,Filter Terms (optional),Extra Fields (optional),Comments
games/mame/riskchal.zip,https://github.com/OngoFiles/OngoFiles/raw/refs/heads/main/mame/riskchal.zip,"1518298",80aab38dc86f68c976a03b9255b042e6,,,
games/mame/salamand.zip,https://github.com/OngoFiles/OngoFiles/raw/refs/heads/main/mame/salamand.zip,"835260",6cedf97abc26ec1fbeb7fd394ae0a8bc,,,
games/mame/spclone.zip,https://github.com/OngoFiles/OngoFiles/raw/refs/heads/main/mame/spclone.zip,"162398",8767f5b2bbffb14fa9437caaa3d3e3e5,,,
games/mame/tokisens.zip,https://github.com/OngoFiles/OngoFiles/raw/refs/heads/main/mame/tokisens.zip,"171675",427a6e372185bc86e6ae4b8641a71383,,,
games/mame/twinbee.zip,https://github.com/OngoFiles/OngoFiles/raw/refs/heads/main/mame/twinbee.zip,"97550",f555be6538ec53817bd30e2ea7a9429e,,,
games/mame/ufosensi.zip,https://github.com/OngoFiles/OngoFiles/raw/refs/heads/main/mame/ufosensi.zip,"281737",5cda331be6b037f4201c36058e912c55,,,
games/mame/wbml.zip,https://github.com/OngoFiles/OngoFiles/raw/refs/heads/main/mame/wbml.zip,"1165828",a5da561949f02ac1545212f8b4e0ab12,,,
games/MC1201/mc.rom,https://github.com/OngoFiles/OngoFiles/raw/refs/heads/main/MC1201/mc.rom,"15360",a5d1658550226e8e8b109cbe53e26677,,,
games/MegaDrive/boot.rom,https://github.com/OngoFiles/OngoFiles/raw/refs/heads/main/MegaDrive/boot.rom,"16384",45e298905a08f9cfb38fd504cd6dbc84,,,
games/NeoGeoPocket/boot.rom,https://github.com/OngoFiles/OngoFiles/raw/refs/heads/main/NeoGeoPocket/boot.rom,"65536",6d7eba21a9f8fb71a63badfca8f9ba63,,,
games/Saturn/boot.bin,https://github.com/OngoFiles/OngoFiles/raw/refs/heads/main/Saturn/boot.bin,"524288",bde8d6225194b1be7d7127f9f5a7bb29,,,
games/SCV/boot.rom,https://github.com/OngoFiles/OngoFiles/raw/refs/heads/main/SCV/boot.rom,"5120",c50c57c172c76deec382785278e0ccbf,,,
games/SparcStation/boot.rom,https://github.com/OngoFiles/OngoFiles/raw/refs/heads/main/SparcStation/boot.rom,"389464",969aa8ee081bccb4e9382afbc0d973d4,,,
games/Tamagotchi/rom.bin,https://github.com/OngoFiles/OngoFiles/raw/refs/heads/main/Tamagotchi/rom.bin,"12288",3fce172403c27274e59723bbb9f6d8e9,,,
games/Tamagotchi/test.bin,https://github.com/OngoFiles/OngoFiles/raw/refs/heads/main/Tamagotchi/test.bin,"12288",b673f32604543f0f66d6a2a9321c18eb,,,
games/TOWNS/boot.rom,https://github.com/OngoFiles/OngoFiles/raw/refs/heads/main/TOWNS/boot.rom,"2097152",21c1752e1c3a2d510fdfa1501e7a9a25,,,
games/Zet98/boot.rom,https://github.com/OngoFiles/OngoFiles/raw/refs/heads/main/Zet98/boot.rom,"550912",73fcde408c51bea3b23ba5b7c66be37d,,,
